voyage_id,vessel_name,vessel_type,departure_port,departure_lat,departure_lon,arrival_port,arrival_lat,arrival_lon,departure_at,arrival_at,distance_nm,avg_speed_knots,heavy_fuel_oil_cons,cargo_qty_mt,is_ballast,is_anomaly,anomaly_type
225,VLCC Express,Tanker,Singapore,1.2644,103.854,Rotterdam,51.9244,4.4777,2025-12-20 02:37:39.774752,2026-01-07 23:59:42.165190,5689.76,12.55,580.45,0.0,True,False,
37,MSC Spirit,Container,Tokyo,35.6528,139.8394,Los Angeles,33.7405,-118.2725,2026-02-04 10:39:08.779488,2026-02-13 23:24:51.554332,4765.11,20.83,556.38,0.0,True,False,
356,VLCC Pride,Tanker,Shanghai,31.2304,121.4737,Rotterdam,51.9244,4.4777,2025-12-27 09:26:50.559038,2026-01-12 13:33:04.472081,4820.25,12.42,1131.9,0.0,True,False,
28,VLCC Horizon,Tanker,Dubai,25.2769,55.2962,Singapore,1.2644,103.854,2025-12-22 11:34:52.697505,2025-12-31 18:20:06.035543,3156.42,14.17,343.84,234560.23,False,False,
518,CAPE Sea,Bulk,Hong Kong,22.3193,114.1694,Los Angeles,33.7405,-118.2725,2025-12-21 14:15:16.910636,2026-01-07 13:34:33.471722,6301.26,15.47,960.78,0.0,True,False,
564,CAPE Horizon,Bulk,Tokyo,35.6528,139.8394,Los Angeles,33.7405,-118.2725,2026-01-06 03:40:57.410481,2026-01-19 15:23:57.573524,4765.11,14.72,488.17,112423.18,False,False,
255,VLCC Navigator,Tanker,Hong Kong,22.3193,114.1694,Los Angeles,33.7405,-118.2725,2026-02-14 14:05:02.821389,2026-03-06 19:55:03.283995,6301.26,12.97,879.81,0.0,True,False,
145,VLCC Express,Tanker,Shanghai,31.2304,121.4737,Rotterdam,51.9244,4.4777,2026-01-11 01:37:42.082001,2026-01-23 19:28:54.417026,4820.25,15.76,749.01,128983.33,False,False,
572,CAPE Sea,Bulk,Busan,35.1796,129.0756,Hamburg,53.5453,9.97,2026-01-11 19:24:40.359720,2026-01-26 10:06:56.225981,4615.27,13.16,445.61,87186.45,False,False,
556,CAPE Star,Bulk,Busan,35.1796,129.0756,Hamburg,53.5453,9.97,2026-01-21 16:54:08.811211,2026-02-03 17:10:01.179276,4615.27,14.78,626.7,0.0,True,False,
310,CAPE Navigator,Bulk,Busan,35.1796,129.0756,Hamburg,53.5453,9.97,2026-02-06 07:43:17.185093,2026-02-17 23:15:55.271101,4615.27,16.51,470.49,0.0,True,False,
719,CAPE Navigator,Bulk,Tokyo,35.6528,139.8394,Los Angeles,33.7405,-118.2725,2026-01-05 00:27:10.088130,2026-01-17 03:43:07.300844,4765.11,16.36,324.39,155969.58,False,False,
861,VLCC Fortune,Tanker,Busan,129.0756,35.1796,Hamburg,9.97,53.5453,2026-02-07 00:49:25.741835,2026-02-20 22:17:49.499060,4615.27,13.84,665.42,156024.17,False,True,lat_lon_swap
707,CAPE Star,Bulk,Hong Kong,22.3193,114.1694,Los Angeles,33.7405,-118.2725,2026-01-30 14:48:31.831209,2026-02-18 23:50:47.329364,6301.26,13.55,951.18,0.0,True,False,
345,VLCC Horizon,Tanker,Singapore,1.2644,103.854,Dubai,25.2769,55.2962,2026-01-05 09:00:24.955009,2026-01-15 16:22:30.973818,3156.42,12.76,328.05,150377.07,False,False,
571,VLCC Pride,Tanker,Busan,35.1796,129.0756,Hamburg,53.5453,9.97,2026-01-28 02:50:03.008972,2026-02-10 17:41:40.742683,4615.27,14.12,1046.37,0.0,True,False,
565,MSC Glory,Container,Hong Kong,22.3193,114.1694,Los Angeles,33.7405,-118.2725,2026-02-05 15:41:55.050366,2026-02-17 11:01:43.179862,6301.26,22.24,728.31,5681.91,False,False,
733,VLCC Atlantic,Tanker,Tokyo,35.6528,139.8394,Los Angeles,33.7405,-118.2725,2026-02-09 15:27:16.332612,2026-02-26 01:55:02.226652,4765.11,12.08,560.61,276804.31,False,False,
920,MSC Wave,Container,Dubai,25.2769,55.2962,Singapore,1.2644,103.854,2026-01-28 22:26:47.704661,2026-02-03 16:45:53.015792,3156.42,22.82,31.56,11202.68,False,True,impossible_consumption
6,MSC Horizon,Container,Singapore,1.2644,103.854,Dubai,25.2769,55.2962,2026-01-26 06:45:25.142800,2026-02-02 02:33:24.021887,3156.42,19.27,428.12,5934.47,False,False,
543,VLCC Wave,Tanker,Tokyo,35.6528,139.8394,Los Angeles,33.7405,-118.2725,2025-12-23 03:58:18.918225,2026-01-04 23:59:40.366189,4765.11,15.47,851.66,219390.16,False,False,
36,MSC Express,Container,Shanghai,31.2304,121.4737,Los Angeles,33.7405,-118.2725,2026-01-18 19:14:53.632520,2026-01-29 07:30:29.825549,5645.58,22.38,994.63,17195.4,False,False,
929,CAPE Horizon,Bulk,Singapore,1.2644,103.854,Dubai,25.2769,55.2962,2026-01-29 14:54:28.036997,2026-02-07 20:33:59.385312,-3156.42,14.24,573.27,164124.26,False,True,negative_values
90,MSC Fortune,Container,Singapore,1.2644,103.854,Dubai,25.2769,55.2962,2025-12-19 12:09:26.290202,2025-12-26 14:13:22.928133,3156.42,18.56,536.7,0.0,True,False,
967,CAPE Spirit,Bulk,Dubai,55.2962,25.2769,Singapore,103.854,1.2644,2025-12-18 04:20:42.783767,2025-12-25 22:40:28.616116,3156.42,16.94,294.85,165053.73,False,True,lat_lon_swap
